	Crosshead,	Load,	Time,	Video,	Axial,	Traverse
	2,89633544161916,	70,9703671875,	34,7669982910156,	37,2326011657715,	0,00528621999546885,	-0,000856772996485233
	2,89811473339796,	70,996296875,	34,7869987487793,	37,2326011657715,	0,00528621999546885,	-0,000856772996485233
	2,89986049756408,	71,018203125,	34,806999206543,	37,2326011657715,	0,00528621999546885,	-0,000856772996485233
	2,90153874084353,	71,0397578125,	34,8269996643066,	37,2914009094238,	0,00528621999546885,	-0,000856772996485233
	2,90321721695364,	71,056453125,	34,8470001220703,	37,2914009094238,	0,00528621999546885,	-0,000856772996485233
	2,90494621731341,	71,0829765625,	34,867000579834,	37,2914009094238,	0,00528621999546885,	-0,000856772996485233
	2,90665845386684,	71,1038828125,	34,8870010375977,	37,2914009094238,	0,00528621999546885,	-0,000856772996485233
	2,90838722139597,	71,1284765625,	34,9070014953613,	37,3502998352051,	0,00530732003971934,	-0,000853002013172954
	2,91013298556209,	71,1512578125,	34,9269981384277,	37,3502998352051,	0,00530732003971934,	-0,000853002013172954
	2,91177770122886,	71,1727890625,	34,9469985961914,	37,3502998352051,	0,00530732003971934,	-0,000853002013172954
	2,91337259113789,	71,1850390625,	34,9669990539551,	37,4090995788574,	0,00533796986564994,	-0,000839441025163978
	2,91493348777294,	71,1994140625,	34,9869995117188,	37,4090995788574,	0,00533796986564994,	-0,000839441025163978
	2,91654490865767,	71,21653125,	35,0069999694824,	37,4090995788574,	0,00533796986564994,	-0,000839441025163978
	2,91825691238046,	71,2401796875,	35,0270004272461,	37,4090995788574,	0,00533796986564994,	-0,000839441025163978
	2,91993538849056,	71,2649765625,	35,0470008850098,	37,4678993225098,	0,00532210012897849,	-0,000830503006000072
	2,92159733362496,	71,2865,	35,0670013427734,	37,4678993225098,	0,00532210012897849,	-0,000830503006000072
	2,92325881309807,	71,3062734375,	35,0870018005371,	37,4678993225098,	0,00532210012897849,	-0,000830503006000072
	2,92485347017646,	71,3246640625,	35,1069984436035,	37,5854988098145,	0,00531029980629683,	-0,000839964020997286
	2,92643113061786,	71,3387265625,	35,1269989013672,	37,5854988098145,	0,00531029980629683,	-0,000839964020997286
	2,92804255150259,	71,362671875,	35,1469993591309,	37,5854988098145,	0,00531029980629683,	-0,000839964020997286
	2,92973802424967,	71,386703125,	35,1669998168945,	37,5854988098145,	0,00531029980629683,	-0,000839964020997286
	2,93156760744751,	71,412984375,	35,1870002746582,	37,6442985534668,	0,0053571299649775,	-0,000857611012179405
	2,93344771489501,	71,4401484375,	35,2070007324219,	37,6442985534668,	0,0053571299649775,	-0,000857611012179405
	2,93536088429391,	71,47775,	35,2270011901855,	37,6442985534668,	0,0053571299649775,	-0,000857611012179405
	2,93727451935411,	71,5100859375,	35,2470016479492,	37,7032012939453,	0,00542213022708893,	-0,00082610099343583
	2,93913763016462,	71,53725,	35,2669982910156,	37,7032012939453,	0,00542213022708893,	-0,00082610099343583
	2,94095044955611,	71,561609375,	35,2869987487793,	37,7032012939453,	0,00542213022708893,	-0,00082610099343583
	2,9426624532789,	71,5790234375,	35,306999206543,	37,7032012939453,	0,00542213022708893,	-0,00082610099343583
	2,94434116221964,	71,5951328125,	35,3269996643066,	37,7620010375977,	0,00542789977043867,	-0,000844154972583056
	2,94596934691072,	71,608734375,	35,3470001220703,	37,7620010375977,	0,00542789977043867,	-0,000844154972583056
	2,94749671593308,	71,621484375,	35,367000579834,	37,7620010375977,	0,00542789977043867,	-0,000844154972583056
	2,94899055734277,	71,6289609375,	35,3870010375977,	37,82080078125,	0,00539215980097651,	-0,000861933978740126
	2,95053492300212,	71,6430234375,	35,4070014953613,	37,82080078125,	0,00539215980097651,	-0,000861933978740126
	2,95214634388685,	71,6637578125,	35,4269981384277,	37,82080078125,	0,00539215980097651,	-0,000861933978740126
	2,95380782335997,	71,6827734375,	35,4469985961914,	37,82080078125,	0,00539215980097651,	-0,000861933978740126
	2,95555358752608,	71,7063828125,	35,4669990539551,	37,9384994506836,	0,00537304021418095,	-0,000885545974597335
	2,95728258788586,	71,737015625,	35,4869995117188,	37,9384994506836,	0,00537304021418095,	-0,000885545974597335
	2,95897759497166,	71,75678125,	35,5069999694824,	37,9384994506836,	0,00537304021418095,	-0,000885545974597335
	2,96060577966273,	71,774015625,	35,5270004272461,	37,9972991943359,	0,00545381987467408,	-0,000872034986969084
	2,96220066957176,	71,7934765625,	35,5470008850098,	37,9972991943359,	0,00545381987467408,	-0,000872034986969084
	2,96384538523853,	71,8092265625,	35,5670013427734,	37,9972991943359,	0,00545381987467408,	-0,000872034986969084
	2,9654735699296,	71,8311015625,	35,5870018005371,	37,9972991943359,	0,00545381987467408,	-0,000872034986969084
	2,96706822700799,	71,847796875,	35,6069984436035,	38,0560989379883,	0,00550741981714964,	-0,000871117983479053
	2,96864612028003,	71,86471875,	35,6269989013672,	38,0560989379883,	0,00550741981714964,	-0,000871117983479053
	2,9701734893024,	71,875078125,	35,6469993591309,	38,0560989379883,	0,00550741981714964,	-0,000871117983479053
	2,97166733071208,	71,89284375,	35,6669998168945,	38,1148986816406,	0,00552773987874389,	-0,000834680977277458
	2,97324522398412,	71,91003125,	35,6870002746582,	38,1148986816406,	0,00552773987874389,	-0,000834680977277458
	2,97482288442552,	71,9286171875,	35,7070007324219,	38,1148986816406,	0,00552773987874389,	-0,000834680977277458
	2,97640077769756,	71,946078125,	35,7270011901855,	38,1148986816406,	0,00552773987874389,	-0,000834680977277458
	2,97807925380766,	71,97271875,	35,7470016479492,	38,173698425293,	0,00550410989671946,	-0,000846882001496851
	2,97975772991776,	71,9970546875,	35,7669982910156,	38,173698425293,	0,00550410989671946,	-0,000846882001496851
	2,98141967505217,	72,0181953125,	35,7869987487793,	38,173698425293,	0,00550410989671946,	-0,000846882001496851
	2,98308138735592,	72,0421875,	35,806999206543,	38,2913017272949,	0,00550793018192053,	-0,000843303976580501
	2,98475986346602,	72,0666875,	35,8269996643066,	38,2913017272949,	0,00550793018192053,	-0,000843303976580501
	2,98652215860784,	72,0898828125,	35,8470001220703,	38,2913017272949,	0,00550793018192053,	-0,000843303976580501
	2,98826792277396,	72,1159765625,	35,867000579834,	38,2913017272949,	0,00550793018192053,	-0,000843303976580501
	2,98999692313373,	72,1370625,	35,8870010375977,	38,3502006530762,	0,00554940989241004,	-0,000862982007674873
	2,99172569066286,	72,16134375,	35,9070014953613,	38,3502006530762,	0,00554940989241004,	-0,000862982007674873
	2,99342116340995,	72,1814453125,	35,9269981384277,	38,3502006530762,	0,00554940989241004,	-0,000862982007674873
	2,99503235146403,	72,1982109375,	35,9469985961914,	38,4090003967285,	0,00558478990569711,	-0,000866316026076674
